symbol,pattern,entry_date,exit_date,pnl_pct,pnl_dollars,capital_after,shares,entry_price
AES,Falling Wedge,2021-10-26 04:00:00+00:00,2021-11-08 05:00:00+00:00,-0.5031191509053755,-1.006238301810751,998.9937616981892,10.040968240546473,19.91839782864557
BF-B,Falling Wedge,2021-10-26 04:00:00+00:00,2021-11-01 04:00:00+00:00,3.35595571218898,6.71191142437796,1005.7056731225672,3.245770319002786,61.61865453913171
BDX,Falling Wedge,2021-10-26 04:00:00+00:00,2021-10-29 04:00:00+00:00,-0.8760060815659634,-1.752012163131927,1003.9536609594353,1.1861036288232008,168.61933067216995
LNT,Falling Wedge,2021-10-26 04:00:00+00:00,2021-11-02 04:00:00+00:00,3.4261450420731405,6.852290084146281,1010.8059510435816,4.241987719251532,47.14770839442424
ED,Falling Wedge,2021-10-26 04:00:00+00:00,2021-11-05 04:00:00+00:00,3.81809137055399,7.63618274110798,1018.4421337846895,3.1649019561497678,63.19311080438907
CARR,Falling Wedge,2021-11-09 05:00:00+00:00,2021-11-12 05:00:00+00:00,5.894518758469876,12.006452524019881,1030.4485863087093,4.156642556814748,49.00311344380432
ROST,Channel Breakout,2021-11-09 05:00:00+00:00,2021-11-19 05:00:00+00:00,-4.194658266933108,-8.544033431745884,1021.9045528769634,1.831621244889443,111.20663036927844
SCHW,Inverse Head & Shoulders,2021-11-09 05:00:00+00:00,2021-11-11 05:00:00+00:00,6.083688603853185,12.391769605979674,1034.296322482943,2.8287695995350557,72.00601519134563
CTSH,Inverse Head & Shoulders,2021-11-09 05:00:00+00:00,2021-11-12 05:00:00+00:00,3.7203930395566327,7.578010051447527,1041.8743325343905,2.799526388316509,72.75817352785363
ED,Ascending Triangle,2021-11-09 05:00:00+00:00,2021-11-16 05:00:00+00:00,3.158551063476959,6.433602969510748,1048.3079355039013,3.1578861125464486,64.50151129506318
PG,Inverse Head & Shoulders,2021-11-23 05:00:00+00:00,2021-11-26 05:00:00+00:00,2.692848835963342,5.645869607705629,1053.953805111607,1.6323152262791014,128.44430029529804
ES,Falling Wedge,2021-11-23 05:00:00+00:00,2021-11-30 05:00:00+00:00,-2.0174034997587844,-4.229720195820953,1049.724084915786,3.0193709010024654,69.43883145696682
FDX,Falling Wedge,2021-11-23 05:00:00+00:00,2021-11-26 05:00:00+00:00,-1.111111362852105,-2.3295737178128326,1047.3945111979733,1.172672303457597,178.7895787106065
HSY,Falling Wedge,2021-11-23 05:00:00+00:00,2021-12-01 05:00:00+00:00,-2.359848832557825,-4.947696515519969,1042.4468146824534,1.3194533130552073,158.9003453371963
CFG,Falling Wedge,2021-11-23 05:00:00+00:00,2021-11-26 05:00:00+00:00,-0.2795317695720219,-0.586070744535597,1041.8607439379177,5.187973399822698,40.41300348763268
