symbol,pattern,entry_date,entry_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,mtf
UNP,Double Bottom,2022-08-02 00:00:00-04:00,199.5087377558387,2022-08-04 00:00:00-04:00,207.0159565884511,WIN_T1,3.7628521522700615,2,True
SBUX,Double Bottom,2023-01-17 00:00:00-05:00,96.3872927708184,2023-02-01 00:00:00-05:00,100.66600138962815,WIN_T1,4.439079567244717,15,True
BA,Double Bottom,2023-06-06 00:00:00-04:00,208.3699951171875,2023-06-08 00:00:00-04:00,216.23500061035156,WIN_T1,3.774538406424963,2,True
JPM,Double Bottom,2023-07-05 00:00:00-04:00,133.90222299810569,2023-07-11 00:00:00-04:00,138.37432741636553,WIN_T1,3.3398283599243253,6,True
WFC,Double Bottom,2023-07-05 00:00:00-04:00,39.883185264033145,2023-07-18 00:00:00-04:00,41.848282452062904,WIN_T1,4.927132010696983,13,True
HD,Double Bottom,2023-07-18 00:00:00-04:00,291.50628573041,2023-07-24 00:00:00-04:00,301.5574601183016,WIN_T1,3.448012917699857,6,True
AMD,Double Bottom,2023-11-07 00:00:00-05:00,111.30999755859375,2023-11-14 00:00:00-05:00,120.40499496459961,WIN_T1,8.170871984089514,7,True
MU,Double Bottom,2023-11-07 00:00:00-05:00,70.05508899484431,2023-11-09 00:00:00-05:00,73.52035260889372,WIN_T1,4.946483779792829,2,True
V,Double Bottom,2023-11-07 00:00:00-05:00,236.03519059327138,2023-11-14 00:00:00-05:00,242.7307414159505,WIN_T1,2.836674822025449,7,True
AVGO,Double Bottom,2023-11-21 00:00:00-05:00,89.79706439464834,2023-11-22 00:00:00-05:00,95.4705468405968,WIN_T1,6.318115724823824,1,True
ADBE,Double Bottom,2023-11-21 00:00:00-05:00,574.4000244140625,2023-11-22 00:00:00-05:00,612.2500305175781,WIN_T1,6.589485462178713,1,True
AAPL,Double Bottom,2023-12-05 00:00:00-05:00,179.90674578858014,2023-12-06 00:00:00-05:00,188.13052760358624,WIN_T1,4.571135884293296,1,True
AMD,Double Bottom,2023-12-05 00:00:00-05:00,111.30999755859375,2023-12-06 00:00:00-05:00,120.40499496459961,WIN_T1,8.170871984089514,1,True
ADBE,Double Bottom,2023-12-05 00:00:00-05:00,574.4000244140625,2023-12-11 00:00:00-05:00,612.2500305175781,WIN_T1,6.589485462178713,6,True
CRM,Double Bottom,2024-01-16 00:00:00-05:00,263.7961867816879,2024-01-19 00:00:00-05:00,274.3486267911609,WIN_T1,4.0002246197008064,3,True
PANW,Double Bottom,2024-01-16 00:00:00-05:00,159.0,2024-01-18 00:00:00-05:00,168.33499908447266,WIN_T1,5.871068606586576,2,True
JPM,Double Bottom,2024-07-16 00:00:00-04:00,196.48976306989658,2024-07-17 00:00:00-04:00,203.6476943020142,WIN_T1,3.6429028771190253,1,True
TSLA,Cup & Handle (Daily),2024-09-24 00:00:00-04:00,250.0,2024-10-11 00:00:00-04:00,230.0,LOSS,-8.0,17,True
NVDA,Cup & Handle (Daily),2024-10-22 00:00:00-04:00,142.68705023422552,2024-10-31 00:00:00-04:00,134.04054844289783,LOSS,-6.059766304744666,9,True
JPM,Double Bottom,2024-10-22 00:00:00-04:00,209.82399812562028,2024-10-29 00:00:00-04:00,218.47549474250883,WIN_T1,4.1232159782357,7,True
NKE,Double Bottom,2025-02-25 00:00:00-05:00,75.86312190831777,2025-03-12 00:00:00-04:00,71.15208249131682,LOSS,-6.209920312394131,14,True
ABBV,Cup & Handle (Daily),2025-06-03 00:00:00-04:00,179.72400969650363,2025-06-23 00:00:00-04:00,175.36794577647672,LOSS,-2.4237517999864964,20,True
MCD,Double Bottom,2025-10-21 00:00:00-04:00,300.7712617097625,2025-10-31 00:00:00-04:00,292.39183976053465,LOSS,-2.785978255234301,10,True
WFC,Double Bottom,2025-11-04 00:00:00-05:00,84.81056438196244,2025-11-21 00:00:00-05:00,80.43316141710513,LOSS,-5.161388792489039,17,True
BAC,Double Bottom,2025-11-04 00:00:00-05:00,52.04050535560516,2025-12-05 00:00:00-05:00,54.180977818470794,WIN_T1,4.113089310411714,31,True
NVDA,Double Bottom,2025-12-30 00:00:00-05:00,187.7709870845105,2026-01-20 00:00:00-05:00,177.83310155828326,LOSS,-5.292556470267938,21,True
V,Double Bottom,2026-06-30 00:00:00-04:00,334.5485043686942,2026-07-01 00:00:00-04:00,347.60924657528767,WIN_T1,3.903990613032214,1,True
