pattern,status,entry,stop_loss,target_1,target_2,risk_pct,upside_pct,rr,cmp,dist_to_breakout_pct,symbol,sector,volume_ratio,score
Cup & Handle (Weekly),NEAR,320.2799987792969,308.2099914550781,340.9940468739757,361.70809496865456,2.024920652644309,6.467481008376291,3.1939429329887665,314.5799865722656,1.8119436869267707,AAPL,Information Technology,0.6270514229485545,118.0
Cup & Handle (Monthly),NEAR,320.2799987792969,308.2099914550781,340.9940468739757,361.70809496865456,2.024920652644309,6.467481008376291,3.1939429329887665,314.5799865722656,1.8119436869267707,AAPL,Information Technology,0.6270514229485545,115.0
Cup & Handle (Monthly),NEAR,506.4800109863281,485.44474991972123,565.2257935961564,623.9715762059848,3.8837460368452335,11.598835360832059,2.9865071636490916,505.05999755859375,0.2811573742918799,MSFT,Information Technology,0.5581004980769407,114.7
Cup & Handle (Daily),NEAR,320.2799987792969,308.2099914550781,340.9940468739757,361.70809496865456,2.024920652644309,6.467481008376291,3.1939429329887665,314.5799865722656,1.8119436869267707,AAPL,Information Technology,0.6270514229485545,110.0
Cup & Handle (Monthly),WATCH,517.3499755859375,469.07000732421875,569.1210836742785,620.8921917626194,1.5943956803290342,10.006979903634152,6.27634659770843,476.6700134277344,8.534197875312838,AMD,Information Technology,0.5807678510789956,110.0
Cup & Handle (Weekly),NEAR,351.6000061035156,338.5199890136719,373.4870281296595,395.37405015580345,0.6252766537432433,6.224977715074345,9.955557556496425,340.6499938964844,3.2144466177089397,GOOGL,Communication Services,0.7002500967146871,108.0
Cup & Handle (Monthly),NEAR,351.6000061035156,338.5199890136719,379.05275626950584,406.505506435496,0.6252766537432433,7.8079492859587045,12.48719145232132,340.6499938964844,3.2144466177089397,GOOGL,Communication Services,0.7002500967146871,105.0
Cup & Handle (Weekly),NEAR,506.4800109863281,485.44474991972123,551.3652529563581,596.2504949263881,3.8837460368452335,8.862194162928489,2.281867578068325,505.05999755859375,0.2811573742918799,MSFT,Information Technology,0.5581004980769407,103.6
Double Bottom,NEAR,350.45001220703125,338.57000732421875,356.3900146484375,362.33001708984375,0.6105934564900315,1.6949642558143625,2.775929282894362,340.6499938964844,2.8768585017279857,GOOGL,Communication Services,0.7002500967146871,103.5
Cup & Handle (Monthly),NEAR,166.97000122070312,159.0800018310547,180.77119135070276,194.57238148070243,3.4591558383712897,8.265670497155382,2.3895050941235403,164.77999877929688,1.32904627845003,QCOM,Information Technology,0.7082990398065472,102.8
Cup & Handle (Daily),NEAR,351.6000061035156,338.5199890136719,373.4870281296595,395.37405015580345,0.6252766537432433,6.224977715074345,9.955557556496425,340.6499938964844,3.2144466177089397,GOOGL,Communication Services,0.7002500967146871,100.0
Cup & Handle (Monthly),WATCH,601.8599853515625,561.4000244140625,644.577815611763,687.2956458719634,1.6984681468289398,7.097635878758052,4.178845444943682,571.0999755859375,5.386098945997297,META,Communication Services,0.8969961615284037,100.0
Cup & Handle (Weekly),WATCH,517.3499755859375,451.0,580.6699836268668,643.9899916677961,5.385279691319639,12.239298546252892,2.272732197360339,476.6700134277344,8.534197875312838,AMD,Information Technology,0.5807678510789956,98.5
Cup & Handle (Weekly),NEAR,366.5,342.5299987792969,408.7942876295069,451.08857525901385,3.461006979452134,11.54005119495414,3.334304514110195,354.80999755859375,3.29472182910397,TSLA,Consumer Discretionary,0.901172058690271,98.0
Cup & Handle (Weekly),NEAR,166.97000122070312,156.22999572753906,183.6810186582924,200.39203609588165,5.188738387605841,10.008395110149419,1.9288687080574587,164.77999877929688,1.32904627845003,QCOM,Information Technology,0.7082990398065472,96.6
Cup & Handle (Daily),NEAR,506.4800109863281,485.44474991972123,551.3652529563581,596.2504949263881,3.8837460368452335,8.862194162928489,2.281867578068325,505.05999755859375,0.2811573742918799,MSFT,Information Technology,0.5581004980769407,95.6
Cup & Handle (Monthly),NEAR,266.3999938964844,255.02000427246094,294.7096338906613,323.0192738848382,0.48388568091376005,10.626741983026188,21.961265650512452,256.260009765625,3.9569124110052867,AMZN,Consumer Discretionary,0.5969757203902026,95.0
Cup & Handle (Daily),WATCH,517.3499755859375,451.0,580.6699836268668,643.9899916677961,5.385279691319639,12.239298546252892,2.272732197360339,476.6700134277344,8.534197875312838,AMD,Information Technology,0.5807678510789956,90.5
Cup & Handle (Daily),NEAR,366.5,342.5299987792969,408.7942876295069,451.08857525901385,3.461006979452134,11.54005119495414,3.334304514110195,354.80999755859375,3.29472182910397,TSLA,Consumer Discretionary,0.901172058690271,90.0
Cup & Handle (Weekly),WATCH,601.8599853515625,546.2999877929688,662.1441773553875,722.4283693592123,4.342494983916685,10.016315002003555,2.3065806728852927,571.0999755859375,5.386098945997297,META,Communication Services,0.8969961615284037,89.1
Cup & Handle (Daily),NEAR,166.97000122070312,156.22999572753906,183.6810186582924,200.39203609588165,5.188738387605841,10.008395110149419,1.9288687080574587,164.77999877929688,1.32904627845003,QCOM,Information Technology,0.7082990398065472,88.6
Cup & Handle (Monthly),WATCH,412.5,350.05999755859375,451.17067795433627,489.84135590867254,5.781345344328116,9.374709807111822,1.621544683593246,371.5400085449219,11.024382438782704,AVGO,Information Technology,0.7342561971332906,82.4
Cup & Handle (Monthly),NEAR,230.47000122070312,214.95428248814173,248.2864114764345,266.10282173216586,5.713533416749635,7.730468243747691,1.353010069230586,227.97999572753906,1.0922035002316126,NVDA,Information Technology,1.1776581709652365,82.1
Cup & Handle (Daily),WATCH,601.8599853515625,546.2999877929688,662.1441773553875,722.4283693592123,4.342494983916685,10.016315002003555,2.3065806728852927,571.0999755859375,5.386098945997297,META,Communication Services,0.8969961615284037,81.1
Double Bottom,WATCH,517.3499755859375,451.0,550.5249633789062,583.699951171875,5.385279691319639,6.412484654202524,1.1907431037497653,476.6700134277344,8.534197875312838,AMD,Information Technology,0.5807678510789956,76.8
Cup & Handle (Weekly),WATCH,412.5,350.05999755859375,437.6117999452875,462.723599890575,5.781345344328116,6.087709077645451,1.0529917718231274,371.5400085449219,11.024382438782704,AVGO,Information Technology,0.7342561971332906,74.1
Double Bottom,NEAR,316.0174696892129,302.41141619001115,324.15545301068187,332.29343633215086,3.868195976115949,2.5751688124939065,0.6657286312260813,314.5799865722656,0.4569531369780984,AAPL,Information Technology,0.6270514229485545,71.3
Double Bottom,NEAR,166.5,156.22999572753906,171.63500213623047,176.77000427246094,5.188738387605841,3.0840853671053865,0.5943805867091381,164.77999877929688,1.0438167456275207,QCOM,Information Technology,0.7082990398065472,69.9
Cup & Handle (Daily),WATCH,412.5,350.05999755859375,437.6117999452875,462.723599890575,5.781345344328116,6.087709077645451,1.0529917718231274,371.5400085449219,11.024382438782704,AVGO,Information Technology,0.7342561971332906,66.1
Double Bottom,WATCH,612.4299926757812,534.0185634068081,656.3999938964844,700.3699951171875,6.4929808727595555,7.179596320649292,1.1057473387562777,571.0999755859375,7.236914525769319,META,Communication Services,0.8969961615284037,52.1
