pnl_pct,exit_reason,days_held,pattern,symbol,entry_price,exit_price,sl_price,t1_price,in_opt_sample
-1.6249543475351333,LOSS,3,Falling Wedge,SYK,251.0418385843948,247.46460699135434,247.46460699135434,262.3971619178592,False
5.837197157703487,WIN_T1,8,Falling Wedge,TPR,34.35995345915352,36.43433159277778,33.40324875336072,36.43433159277778,False
2.9558004539862286,WIN_T1,1,Double Bottom,TDY,440.2999877929688,454.1949768066406,429.90392303466797,454.1949768066406,False
7.374889347646002,WIN_T1,1,Falling Wedge,TPL,126.0480914874548,135.5960949424491,121.90220852146737,135.5960949424491,False
-3.325822942063694,LOSS,1,Ascending Triangle,TXT,73.26667500828678,70.9764884719905,70.9764884719905,76.8622355949881,False
-4.108145179568666,LOSS,1,Inverse Head & Shoulders,URI,349.77308204251074,336.1034421972376,336.1034421972376,368.74498537232256,False
5.0899935372869205,WIN_T1,1,Double Top Breakout,UNH,393.8405174605399,414.6746553814198,380.72879742547866,414.6746553814198,True
3.80146142864069,WIN_T1,13,Falling Wedge,VTRS,10.96527405658572,11.404045268504742,10.5905922202593,11.404045268504742,False
-2.5158704026532095,LOSS,1,Inverse Head & Shoulders,WAB,88.43203528561665,86.38406395397321,86.38406395397321,91.5059108744579,False
6.519568448747201,WIN_T1,2,Falling Wedge,WFC,42.30238851344605,45.14492646506203,40.903420343272636,45.14492646506203,False
3.6195358520485064,WIN_T1,2,Falling Wedge,WDC,41.43163102214957,43.01412702312902,40.721644526184264,43.01412702312902,True
11.00618670241705,WIN_T1,1,Falling Wedge,WYNN,80.44738545006021,89.46246966080705,76.05439983163875,89.46246966080705,False
-1.623001328580221,LOSS,24,Falling Wedge,DTE,96.29797004216412,94.92764864906835,94.92764864906835,100.57480830742595,True
4.301286505425486,WIN_T1,21,Falling Wedge,ETR,42.96315372543764,44.897048366385974,41.93884310770669,44.897048366385974,True
-1.4735981623002181,LOSS,14,Falling Wedge,GS,361.20021052828974,356.5999712847769,356.5999712847769,383.05541425829426,False
5.1109196164918105,WIN_T1,15,Falling Wedge,HPE,13.083183934823458,13.778021316879702,12.64355129840611,13.778021316879702,True
-2.0677507127700943,LOSS,23,Falling Wedge,PPL,24.36297509489681,23.907935453909875,23.907935453909875,24.967807669015897,True
-2.853948560308976,LOSS,24,Inverse Head & Shoulders,PRU,86.12639842789835,83.84064811677517,83.84064811677517,91.15807233569348,False
4.505877475823177,WIN_T1,2,Falling Wedge,TECH,121.86392759659346,127.59869471651501,118.01418053320216,127.59869471651501,False
-3.2636299863133194,LOSS,31,Inverse Head & Shoulders,HBAN,12.855144007417191,12.461309960822199,12.461309960822199,13.54638944638879,False
-1.411312295954648,LOSS,35,Falling Wedge,WEC,74.6807539206977,73.77613676574465,73.77613676574465,78.66729730164377,True
5.079944003728219,TIME_EXIT,43,Falling Wedge,PSA,263.6726239703455,277.5943908691406,256.411679961879,280.2259281769545,False
-2.7033464735818096,LOSS,2,Falling Wedge,XEL,55.15574602233498,53.77500659930712,53.77500659930712,59.04236742793121,True
2.783683910899252,WIN_T1,1,Falling Wedge,SO,50.84817197959079,52.36532070593222,50.323867355473936,52.36532070593222,True
4.812904499360256,WIN_T1,1,Inverse Head & Shoulders,SHW,288.9095114595475,303.3922693585829,280.457209943024,303.3922693585829,False
2.795889097259454,WIN_T1,41,Falling Wedge,YUM,114.42900221833024,117.85716821989197,111.72517470806973,117.85716821989197,False
1.7681134722093912,WIN_T1,1,Falling Wedge,CHD,77.6226470074086,79.15034878064695,76.68811308302807,79.15034878064695,True
3.199642069646654,WIN_T1,6,Falling Wedge,BF-B,61.61865453913171,63.71346824159427,60.305771331483214,63.71346824159427,True
