pattern,status,entry,stop_loss,target_1,target_2,risk_pct,upside_pct,rr,cmp,dist_to_breakout_pct,mtf_confirmed,symbol,sector,volume_ratio,score
Cup & Handle (Weekly),NEAR,163.38999938964844,159.83999633789062,174.10232804963806,184.81465670962766,2.172717464360749,6.556293959242344,3.0175547749699336,162.74000549316406,0.3994063380510812,True,ICE,Financials,0.5394315476670207,123.0
Cup & Handle (Monthly),NEAR,145.52999877929688,141.60000610351562,157.84108687018818,170.1521749610795,2.700469118907415,8.459484775755168,3.132598227665643,142.10000610351562,2.4137878454998813,True,ARES,Financials,0.7449356805046882,120.0
Cup & Handle (Monthly),NEAR,517.780029296875,498.27930436692054,580.7677191050824,643.7554089132898,3.7662180514060535,12.164951570987048,3.2300178600772917,514.1799926757812,0.7001510506776507,True,MSFT,Information Technology,0.552941768295243,120.0
Cup & Handle (Monthly),NEAR,490.19000244140625,481.0899963378906,526.0080290079787,561.8260555745512,1.856424255532093,7.306967989591732,3.93604423547967,485.5799865722656,0.9493834170726365,True,MSI,Information Technology,0.7120316550477165,120.0
Cup & Handle (Daily),NEAR,163.38999938964844,159.83999633789062,174.10232804963806,184.81465670962766,2.172717464360749,6.556293959242344,3.0175547749699336,162.74000549316406,0.3994063380510812,True,ICE,Financials,0.5394315476670207,115.0
Cup & Handle (Weekly),NEAR,26.030000686645508,25.280000686645508,27.97299776418358,29.91599484172166,2.8812907422810086,7.464452655719343,2.590662770050765,25.934999465942383,0.36630508062234507,True,T,Communication Services,0.39714548370930325,114.8
Cup & Handle (Weekly),NEAR,517.780029296875,498.27930436692054,567.3852622984975,616.9904953001201,3.7662180514060535,9.58036814764457,2.5437635359609363,514.1799926757812,0.7001510506776507,True,MSFT,Information Technology,0.552941768295243,113.9
Cup & Handle (Weekly),NEAR,69.29000091552734,67.41000366210938,75.1975443789597,81.10508784239207,2.713230233190365,8.525823907311462,3.1423149436479374,68.45999908447266,1.2123894860567408,True,MO,Consumer Staples,0.7368165643044943,113.0
Cup & Handle (Weekly),NEAR,26.780000686645508,25.78499984741211,30.61846762199402,34.456934557342535,3.7154623365248067,14.333333969116206,3.8577524600942774,26.170000076293945,2.330915584918667,True,BAX,Health Care,0.6013311664835276,113.0
Cup & Handle (Weekly),NEAR,247.19000244140625,241.7899932861328,265.7346559730727,284.27930950473916,2.1845580735221892,7.502185909020426,3.4341892760601054,242.2899932861328,2.0223737220078926,True,DGX,Health Care,0.7490679682613759,113.0
Cup & Handle (Weekly),NEAR,182.52999877929688,173.3699951171875,209.8135674892124,237.09713619912793,5.0183551872944685,14.947443648923159,2.978554345210015,181.25,0.7062062230603449,True,DVA,Health Care,0.7021613346399651,112.6
Cup & Handle (Monthly),NEAR,69.29000091552734,67.41000366210938,75.1975443789597,81.10508784239207,2.713230233190365,8.525823907311462,3.1423149436479374,68.45999908447266,1.2123894860567408,True,MO,Consumer Staples,0.7368165643044943,110.0
Cup & Handle (Monthly),NEAR,182.52999877929688,173.3699951171875,210.58913130099833,238.64826382269982,5.0183551872944685,15.372340277955457,3.063222849764666,181.25,0.7062062230603449,True,DVA,Health Care,0.7021613346399651,110.0
Cup & Handle (Weekly),NEAR,576.5250244140625,560.010009765625,614.715131798944,652.9052391838255,2.864578977334443,6.624189023485158,2.3124476845980064,572.1500244140625,0.7646595846046546,True,MSCI,Financials,0.49504148078078464,109.2
Cup & Handle (Weekly),NEAR,220.6699981689453,212.24000549316406,243.87766695311132,267.0853357372773,3.820180697752684,10.516911667529074,2.7529880127701567,216.22999572753906,2.053370267370713,True,DHR,Health Care,0.5173577375392551,108.1
Cup & Handle (Monthly),NEAR,26.780000686645508,25.78499984741211,29.64546079416911,32.510920901692714,3.7154623365248067,10.700000127156581,2.879856975529092,26.170000076293945,2.330915584918667,True,BAX,Health Care,0.6013311664835276,107.6
Cup & Handle (Daily),NEAR,26.030000686645508,25.280000686645508,27.97299776418358,29.91599484172166,2.8812907422810086,7.464452655719343,2.590662770050765,25.934999465942383,0.36630508062234507,True,T,Communication Services,0.39714548370930325,106.8
Cup & Handle (Daily),NEAR,517.780029296875,498.27930436692054,567.3852622984975,616.9904953001201,3.7662180514060535,9.58036814764457,2.5437635359609363,514.1799926757812,0.7001510506776507,True,MSFT,Information Technology,0.552941768295243,105.9
Cup & Handle (Weekly),NEAR,166.9499969482422,159.0800018310547,183.65901227920466,200.36802761016713,4.713983384873828,10.008395110149419,2.1231290594413705,163.97000122070312,1.8174030038140925,True,QCOM,Information Technology,0.6498463890323452,105.5
Cup & Handle (Weekly),NEAR,139.88999938964844,135.30999755859375,151.812442519448,163.7348856492476,3.2740023239957194,8.522727272727266,2.6031524810665987,136.9600067138672,2.1393052950869844,True,GPC,Consumer Discretionary,0.6303484059054469,105.1
Cup & Handle (Weekly),NEAR,351.510009765625,337.02428763253346,381.9995331720741,412.48905657852316,4.120998472490195,8.673870603792619,2.104798305967646,344.0799865722656,2.1593883641351748,True,WTW,Financials,0.6768900603261457,105.1
Cup & Handle (Daily),NEAR,69.29000091552734,67.41000366210938,75.1975443789597,81.10508784239207,2.713230233190365,8.525823907311462,3.1423149436479374,68.45999908447266,1.2123894860567408,True,MO,Consumer Staples,0.7368165643044943,105.0
Cup & Handle (Daily),NEAR,26.780000686645508,25.78499984741211,30.61846762199402,34.456934557342535,3.7154623365248067,14.333333969116206,3.8577524600942774,26.170000076293945,2.330915584918667,True,BAX,Health Care,0.6013311664835276,105.0
Cup & Handle (Daily),NEAR,247.19000244140625,241.7899932861328,265.7346559730727,284.27930950473916,2.1845580735221892,7.502185909020426,3.4341892760601054,242.2899932861328,2.0223737220078926,True,DGX,Health Care,0.7490679682613759,105.0
Cup & Handle (Daily),NEAR,182.52999877929688,173.3699951171875,209.8135674892124,237.09713619912793,5.0183551872944685,14.947443648923159,2.978554345210015,181.25,0.7062062230603449,True,DVA,Health Care,0.7021613346399651,104.6
Cup & Handle (Weekly),NEAR,50.779998779296875,49.236427307128906,53.950510398697034,57.12102201809719,3.0397233345292762,6.243622874392002,2.0540102460867127,50.04999923706055,1.458540566162057,True,VZ,Communication Services,0.6552567865857737,104.1
Cup & Handle (Weekly),NEAR,27.350000381469727,26.3700008392334,29.32869738632663,31.307394391183536,3.583179263501221,7.234723865662242,2.0190795195083258,26.940000534057617,1.5218999231042574,True,CMCSA,Communication Services,0.5052295103662912,103.4
Cup & Handle (Weekly),NEAR,153.25,144.98001970563615,178.42007047640894,203.5901409528179,5.3963982344951695,16.42418954414939,3.0435466083955283,150.83999633789062,1.5977219044150746,True,CHRW,Industrials,0.7030994398929,103.0
Cup & Handle (Weekly),NEAR,191.86000061035156,180.7899932861328,213.85211011714836,235.84421962394515,5.769835968415754,11.462581797578832,1.9866391107694101,189.2050018310547,1.4032392133415066,True,ACN,Information Technology,0.5400469071237312,102.7
Cup & Handle (Monthly),NEAR,555.6900024414062,540.0800170898438,596.7229611137079,637.7559197860096,2.8091175444907286,7.384145565337631,2.6286353092698085,541.7750244140625,2.5684052236245107,True,VRTX,Health Care,0.5060023552595527,102.6
