pattern,status,entry,stop_loss,target_1,target_2,risk_pct,upside_pct,rr,cmp,dist_to_breakout_pct,mtf_confirmed,symbol,sector,volume_ratio,score
Cup & Handle (Daily),NEAR,64.23999786376953,61.02000045776367,72.64996819981704,81.05993853586455,5.012449428834575,13.091486014495363,2.6117941338590644,63.7599983215332,0.7528223884444823,True,CTSH,Information Technology,0.558785145622235,117.2
Cup & Handle (Daily),NEAR,163.38999938964844,159.83999633789062,174.10232804963806,184.81465670962766,2.172717464360749,6.556293959242344,3.0175547749699336,161.24000549316406,1.3334121950123143,True,ICE,Financials,0.6505716665828036,115.0
Cup & Handle (Daily),NEAR,373.9100036621094,364.8299865722656,400.72237139101543,427.5347391199215,2.4283964057963727,7.170807805702771,2.952898377129315,369.3299865722656,1.2400880665961285,True,TRV,Financials,0.7321846622023543,114.1
Cup & Handle (Weekly),NEAR,72.53967019089103,71.81047401611455,86.37007408208983,100.20047797328863,1.0052377862451913,19.06598672809449,18.96664350363371,72.47000122070312,0.09613490963762017,True,TECH,Health Care,0.4544922386342109,113.0
Cup & Handle (Daily),NEAR,189.92999267578125,180.7899932861328,211.70087344437817,233.47175421297507,4.812299132370743,11.46258179757884,2.3819345976383404,187.3800048828125,1.3608644073648697,True,ACN,Information Technology,0.6011421333674168,112.6
Cup & Handle (Daily),NEAR,423.989990234375,407.2300109863281,462.6209743126884,501.25195839100184,3.9529186146074395,9.111296249460704,2.304954171277705,422.69000244140625,0.3075511096690667,True,ROP,Information Technology,0.7050033577877817,111.1
Cup & Handle (Daily),NEAR,506.4800109863281,486.8647633474556,551.3652529563581,596.2504949263881,3.8728572131945422,8.862194162928489,2.2882832170356395,505.05999755859375,0.2811573742918799,True,MSFT,Information Technology,0.5678694681127897,110.8
Cup & Handle (Daily),NEAR,575.6599731445312,560.010009765625,618.8543473811079,662.0487216176847,2.718612394295652,7.503452776233208,2.7600303713679013,569.1500244140625,1.1438018889959136,True,MSCI,Financials,0.5802286000931599,110.2
Cup & Handle (Weekly),NEAR,572.5599975585938,543.969970703125,638.4150073035025,704.2700170484113,4.9933678526926695,11.501853085391181,2.303425949119454,555.77001953125,3.021029821202811,True,AMP,Financials,0.5748916121931249,109.1
Cup & Handle (Daily),NEAR,153.25,144.9442901611328,178.42007047640894,203.5901409528179,5.419712782295065,16.42418954414939,3.0304538642349055,151.13999938964844,1.3960570457009518,True,CHRW,Industrials,0.7584076479536532,105.0
Cup & Handle (Daily),NEAR,247.19000244140625,241.7899932861328,265.7346559730727,284.27930950473916,2.1845580735221892,7.502185909020426,3.4341892760601054,244.61000061035156,1.0547409446126732,True,DGX,Health Care,0.9559331695394878,105.0
Cup & Handle (Daily),NEAR,286.1700134277344,279.1700134277344,306.6646384828415,327.1592635379486,2.4460983581592792,7.16169552834108,2.9278035793010178,284.67999267578125,0.5234019918112378,True,ADP,Industrials,0.7961630250359214,103.6
Cup & Handle (Weekly),NEAR,14.789999961853027,14.670000076293945,16.323467535547792,17.85693510924256,0.8113582546895919,10.368273006422898,12.778908634373327,14.75,0.2711861820544227,True,AES,Utilities,1.2167741897977153,103.0
Cup & Handle (Daily),NEAR,26.020000457763672,25.209999084472656,27.9622510729514,29.904501688139128,3.1129952307488638,7.464452655719351,2.397836200321996,25.43000030517578,2.3200949489088587,True,T,Communication Services,0.4428597388387468,103.0
Cup & Handle (Daily),NEAR,84.5999984741211,81.2699966430664,92.25370782195338,99.90741716978567,3.9361724481275564,9.046937926569276,2.2984099517471392,82.4000015258789,2.6698991595907273,True,CTVA,Materials,1.1411361421610777,101.0
Cup & Handle (Daily),NEAR,220.6699981689453,212.24000549316406,243.87766695311132,267.0853357372773,3.820180697752684,10.516911667529074,2.7529880127701567,215.67999267578125,2.313615385116058,True,DHR,Health Care,0.6306538733851703,100.1
Cup & Handle (Daily),NEAR,320.2799987792969,308.2099914550781,340.9940468739757,361.70809496865456,3.7685797958729617,6.467481008376291,1.7161587013386168,314.5799865722656,1.8119436869267707,True,AAPL,Information Technology,0.6299143589662861,99.3
Cup & Handle (Daily),NEAR,185.77000427246094,178.25999450683594,202.17601453051483,218.58202478856876,4.042638527698148,8.831355913623117,2.1845524533334015,178.33999633789062,4.166203929091206,True,AVY,Materials,0.811349052196789,98.7
Cup & Handle (Weekly),NEAR,184.09409707996218,175.36233828024248,203.52186579695586,222.94963451394955,4.743095481180483,10.553173091994978,2.2249548072282233,178.8300018310547,2.9436309316155023,True,MMM,Industrials,0.692781430250284,97.5
Cup & Handle (Daily),NEAR,304.04616245348154,294.44000244140625,329.2709743825833,354.4957863116851,3.159441294887258,8.296375696884875,2.6258996203887133,297.2799987792969,2.276023850231486,True,WAB,Industrials,0.7791982852874634,97.5
Cup & Handle (Daily),NEAR,61.689998626708984,58.5,66.8481123527719,72.00622607883484,5.171014261180189,8.36134517894071,1.6169642465910328,61.540000915527344,0.243740183539377,True,TRMB,Information Technology,0.79904239087777,97.3
Cup & Handle (Daily),NEAR,196.4499969482422,189.4199981689453,214.60728439326365,232.76457183828512,3.5785181412596496,9.242701820863498,2.5828293880354725,190.36000061035156,3.199199578884356,True,EFX,Industrials,0.5948356027998704,96.7
Cup & Handle (Daily),NEAR,351.510009765625,336.86429268973217,381.9995331720741,412.48905657852316,4.166514940970843,8.673870603792619,2.081804752096128,339.5799865722656,3.5131702883263296,True,WTW,Financials,0.7809535586789069,96.6
