idx,symbol,date,status,entry,sl,t1,rr,pnl,win
1,RF,2022-04-26,WATCH,18.220656080383066,17.012543165271097,19.513377580219668,1.0700336729011732,-3.4155819044246534,False
2,NWSA,2022-03-29,BREAKOUT,20.747545284512963,20.115187338980338,22.01080795885799,1.997701908024574,6.800713142642856,True
3,NDSN,2022-06-07,BREAKOUT,207.975785425645,196.6771750716938,220.52103797990208,1.1103358874456548,-5.51259892801395,False
4,CINF,2023-04-11,BREAKOUT,100.25139837724272,99.15344765898226,117.3964580899732,15.615509355369083,-3.486873799578628,False
5,ORCL,2024-01-16,BREAKOUT,100.44087510114906,99.85904777021278,108.57277723922539,13.976487018907223,8.062892105570162,True
6,HAS,2021-11-09,BREAKOUT,76.28943541439699,75.92952099273411,83.48083225788682,19.980852143306993,9.417381544361596,True
7,WEC,2021-10-26,BREAKOUT,74.47914787944336,73.54179972784509,78.66729730164377,4.468083086374256,5.608070623721527,True
9,V,2024-05-21,NEAR,274.4867298149606,267.62960549529544,281.3735795845764,1.0043349731702271,-1.7022208269019072,False
10,GOOG,2023-01-31,BREAKOUT,95.88444192337421,90.26739203402575,102.68988580497225,1.2115690648400876,7.091183515282297,True
11,CCL,2024-06-04,BREAKOUT,14.953769152661758,14.534842927198765,16.869775362620587,4.573612472795843,13.43600405145878,True
12,BBY,2024-02-27,BREAKOUT,66.37740760188578,64.91174006232944,72.03230881930943,3.8582427902684007,8.50748445464108,True
15,BRO,2023-08-29,BREAKOUT,70.32986098709145,69.52961245260457,71.98143095835665,2.063821300621544,2.347463393807954,True
17,MSI,2025-02-11,BREAKOUT,462.21182747700595,452.88405335602505,486.3544736280105,2.5882537289041605,-2.1775271528219413,False
18,KVUE,2023-11-21,BREAKOUT,17.341585633085476,16.695865480090358,18.27682139222069,1.4483608027366077,5.38583615645698,True
19,NTRS,2024-05-07,NEAR,81.180569414818,78.39902226152476,85.0145019838775,1.3783453444318885,-1.6280553470227728,False
20,OKE,2022-02-01,BREAKOUT,47.10317109280949,44.4450452536687,49.889732431160056,1.0483180658035718,5.909273499481698,True
21,AMZN,2026-06-30,BREAKOUT,230.5799903869629,221.32546023503394,244.7038549879578,1.5261568517393662,6.114343995079413,True
22,VRT,2023-01-17,BREAKOUT,14.805577220960297,13.621131043283473,16.237720139658645,1.2091245222365086,-7.999999999999993,False
23,CSCO,2025-10-07,BREAKOUT,66.70378947495067,65.64536723159586,68.372022671258,1.5761509234912114,2.499144355445173,True
25,ATO,2023-04-11,BREAKOUT,104.35199784883987,100.45437885087915,108.35627127237046,1.0273639946915474,5.222476100407772,True
26,AMAT,2025-09-09,BREAKOUT,155.57338682806457,148.5383295841021,164.67758037528458,1.294117905726107,5.80185987001004,True
27,FFIV,2025-12-30,BREAKOUT,252.9153377416946,247.93658207707844,324.3146470270495,14.340793984486378,8.345356051929663,True
28,TRMB,2026-02-24,BREAKOUT,63.337623414539166,60.32075473359086,67.20452620956924,1.281760395952856,6.04947891896913,True
29,CL,2023-11-07,BREAKOUT,69.0591542648492,68.93777210772505,73.96378826945912,40.40654838250759,7.102020369792471,True
30,RMD,2023-07-18,BREAKOUT,211.5733161804278,208.49045072546102,218.77195934509615,2.3350494109532525,3.3990525533124942,True
31,FERG,2024-02-13,BREAKOUT,181.49182772861607,180.92488995051679,186.80257796299506,9.367430500369508,2.923891520030532,True
32,NOW,2025-03-25,BREAKOUT,164.77661838206643,151.59448891150112,178.20134068537456,1.0184031596173067,-7.999999999999995,False
33,SYY,2026-05-05,BREAKOUT,70.6941166334532,68.36547352550998,75.17194061865528,1.9229327027090575,6.298997577309589,True
35,MSI,2022-03-15,BREAKOUT,204.5028736636858,195.06762143778397,217.36237746813612,1.3629210429741552,6.256634000296849,True
37,GE,2026-06-02,BREAKOUT,300.4854180755581,290.31515565198737,326.9012439003403,2.5973593133212236,8.775368914623686,True
38,GNRC,2025-01-14,BREAKOUT,156.24592307761864,148.29735609589432,166.14092617632662,1.2448788720607091,-5.070706900998441,False
39,FTNT,2024-06-04,BREAKOUT,57.9566127971067,54.96232830352411,62.34995052755434,1.4672412524139002,-1.5649991016820417,False
40,VMRK,2022-03-29,BREAKOUT,74.0299072387043,71.81445296023989,77.77065711100539,1.6884798339841676,3.978093229578733,True
42,NXPI,2022-03-29,BREAKOUT,169.31777523519122,164.91232942875536,186.72389929429852,3.9510471411721597,-3.13405415099444,False
43,XYZ,2024-07-02,BREAKOUT,62.99018192551115,59.26732731125334,67.55360383934205,1.2257856904628697,7.209923756919146,True
44,SNPS,2022-05-24,BREAKOUT,269.65768158975374,266.03499476114916,301.4562452193037,8.777618694078091,16.804015684265984,True
45,TTD,2022-03-01,NEAR,82.89752324422204,76.26572138468428,100.38708766791449,2.6372266231897763,-6.110620694051673,False
46,PRU,2023-11-21,BREAKOUT,79.56750945346116,76.80822386361616,83.21073274554834,1.3203502042323387,4.567873726182684,True
47,DD,2023-12-19,BREAKOUT,86.30655893011405,85.68834068906384,89.80388661704825,5.657108533376528,4.051857693603876,True
48,MCHP,2025-10-07,NEAR,63.43300147874623,60.90106962183639,67.14102017083489,1.4645017724190317,-4.229664937860582,False
49,FFIV,2022-03-01,BREAKOUT,186.86675010471163,180.80456700556402,200.51764543319416,2.2518117821947623,6.848285698536833,True
50,CSGP,2025-01-28,BREAKOUT,70.81697127883501,68.07833633729662,76.51970316283857,2.082326416532215,8.022563112634197,True
