idx,symbol,date,detected,classification,quality_score,convergence_ratio,convergence_pct,up_slope,lo_slope,upper_descending,lower_descending,converging,n_peaks,n_troughs,n_touch,duration,price_change_pct,pnl_pct,chart
23,AMCR,2021-12-21 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.24762412448324603,75.2375875516754,-0.07022220463976063,-0.021613933269920216,True,True,True,12.0,12.0,24.0,111.0,-9.624850126011795,5.94778717697919,wedge_audit/wedge_023_AMCR.png
24,CMG,2025-01-28 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.1516124925653709,84.83875074346291,-0.3032826748950842,-0.09368829769576288,True,True,True,6.0,4.0,10.0,49.0,-14.81892612036431,-4.743976864795829,wedge_audit/wedge_024_CMG.png
25,MAA,2023-01-31 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.26705548483552155,73.29445151644785,-0.2049487295264886,-0.0702697458181978,True,True,True,10.0,11.0,21.0,115.0,-10.64512022683926,4.013607949421402,wedge_audit/wedge_025_MAA.png
26,CL,2025-12-30 05:00:00+00:00,True,BORDERLINE,2.0,1.7180263437394947,-71.80263437394947,0.010590998095069913,-0.03400198347911392,False,True,False,6.0,4.0,10.0,32.0,-0.48460995792372186,-2.518433309947916,wedge_audit/wedge_026_CL.png
27,COP,2025-08-26 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.2681391424154623,73.18608575845377,-0.023101304397033433,0.11318519278309601,True,False,True,5.0,5.0,10.0,50.0,2.5252845154594414,-2.7640197492854504,wedge_audit/wedge_027_COP.png
28,NWSA,2025-11-04 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.2094809782554171,79.05190217445829,-0.19735833296020505,-0.14803292070556767,True,True,True,12.0,12.0,24.0,111.0,-43.72165388417711,2.1230005059532795,wedge_audit/wedge_028_NWSA.png
29,MSI,2025-01-14 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.2971906000700021,70.28093999299979,-1.6065985403474277,-1.0528166548161293,True,True,True,4.0,3.0,7.0,33.0,-9.040589832347308,2.908813969491681,wedge_audit/wedge_029_MSI.png
30,CEG,2024-05-07 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.19719803204378783,80.28019679562122,-0.2249964093459746,0.5616420886798925,True,False,True,4.0,4.0,8.0,29.0,2.683759305217497,7.50946120152685,wedge_audit/wedge_030_CEG.png
31,TMO,2023-04-11 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.2609936602238902,73.90063397761098,-0.9920262306299011,-0.4592827514186498,True,True,True,10.0,13.0,23.0,114.0,-13.386406266337936,4.541803014816297,wedge_audit/wedge_031_TMO.png
32,SYY,2024-06-18 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.045978795390741775,95.40212046092581,-0.2886478966528776,-0.11159111439409945,True,True,True,2.0,4.0,6.0,22.0,-6.27093905214231,-2.755955814926048,wedge_audit/wedge_032_SYY.png
33,NWSA,2025-04-22 04:00:00+00:00,True,BORDERLINE,3.0,2.9971233026802007,-199.71233026802005,-0.07193546906862752,-0.1675495512479827,True,True,False,4.0,2.0,6.0,32.0,-13.855243508759305,9.807845568256331,wedge_audit/wedge_033_NWSA.png
